"Name","Created","Group","Tags","test/mse","test_baseline/mse","test_de/mse","train/mse","val/mse"
"stoic-haze-56","2024-06-05T14:17:35.000Z","test_mlp_norman_0.7","IKZF3_de, eval, mlp, norman, replicate_1, split_0.7","","0.190044105052948","0.18619084358215332","",""
"youthful-hill-37","2024-06-05T02:28:56.000Z","test_mlp_norman_0.0","SLC4A1_de, eval, mlp, norman, replicate_0, split_0.0","","0.3834665417671203","0.3701277673244476","",""
"lemon-vortex-33","2024-06-05T02:13:27.000Z","test_mlp_norman_0.0","SET_de, eval, mlp, norman, replicate_0, split_0.0","","0.30042266845703125","0.2966964542865753","",""
"prime-disco-230","2024-06-04T01:09:47.000Z","mlp_norman_0.8","mlp, norman, replicate_1, split_0.8","0.07154403626918793","","","0.060079775750637054","0.05769810825586319"
"eternal-sun-229","2024-06-04T01:09:13.000Z","mlp_norman_0.8","mlp, norman, replicate_0, split_0.8","0.06338941305875778","","","0.07543864101171494","0.07625672966241837"
"neat-thunder-228","2024-06-04T01:08:39.000Z","mlp_norman_0.8","mlp, norman, replicate_2, split_0.8","0.055902570486068726","","","0.0704663097858429","0.06850829720497131"
"jumping-star-227","2024-06-04T01:08:22.000Z","mlp_norman_0.7","mlp, norman, replicate_1, split_0.7","0.07901235669851303","","","0.06066986918449402","0.061175573617219925"
"sunny-energy-226","2024-06-04T01:07:56.000Z","mlp_norman_0.7","mlp, norman, replicate_0, split_0.7","0.09180113673210144","","","0.053303539752960205","0.05458078905940056"
"ruby-vortex-225","2024-06-04T01:07:16.000Z","mlp_norman_0.7","mlp, norman, replicate_2, split_0.7","0.08397167176008224","","","0.05695658549666405","0.05873517319560051"
"smart-resonance-224","2024-06-04T01:06:25.000Z","mlp_norman_0.6","mlp, norman, replicate_2, split_0.6","","","","0.057405631989240646","0.058522436767816544"
"faithful-microwave-223","2024-06-04T01:06:15.000Z","mlp_norman_0.6","mlp, norman, replicate_1, split_0.6","0.061875056475400925","","","0.062452804297208786","0.0641944482922554"
"young-capybara-222","2024-06-04T01:05:53.000Z","mlp_norman_0.6","mlp, norman, replicate_0, split_0.6","0.07748222351074219","","","0.06268593668937683","0.061229415237903595"
"lyric-field-221","2024-06-04T01:02:46.000Z","mlp_norman_0.5","mlp, norman, replicate_2, split_0.5","0.07244981825351715","","","0.05903080850839615","0.05944031476974487"
"fine-sun-220","2024-06-04T01:02:26.000Z","mlp_norman_0.5","mlp, norman, replicate_1, split_0.5","0.06652460992336273","","","0.059463609009981155","0.060438383370637894"
"wandering-violet-219","2024-06-04T01:02:23.000Z","mlp_norman_0.5","mlp, norman, replicate_0, split_0.5","0.06366091966629028","","","0.05945010855793953","0.0611756406724453"
"scarlet-disco-218","2024-06-04T00:55:35.000Z","mlp_norman_0.4","mlp, norman, replicate_2, split_0.4","0.05778785422444344","","","0.06119147688150406","0.06194628402590752"
"still-galaxy-217","2024-06-04T00:55:03.000Z","mlp_norman_0.4","mlp, norman, replicate_1, split_0.4","0.062255702912807465","","","0.059373386204242706","0.05935894697904587"
"dutiful-firebrand-216","2024-06-04T00:54:45.000Z","mlp_norman_0.4","mlp, norman, replicate_0, split_0.4","0.06609392911195755","","","0.05983644723892212","0.06006554886698723"
"autumn-water-215","2024-06-04T00:41:23.000Z","mlp_norman_0.3","mlp, norman, replicate_2, split_0.3","0.05856381729245186","","","0.05863340571522713","0.05868515744805336"
"misunderstood-galaxy-214","2024-06-04T00:41:10.000Z","mlp_norman_0.3","mlp, norman, replicate_1, split_0.3","0.07158536463975906","","","0.05796921625733375","0.058273836970329285"
"copper-leaf-213","2024-06-04T00:40:18.000Z","mlp_norman_0.3","mlp, norman, replicate_0, split_0.3","0.06349553167819977","","","0.05884873494505882","0.05911475792527199"
"driven-brook-212","2024-06-04T00:24:43.000Z","mlp_norman_0.2","mlp, norman, replicate_2, split_0.2","0.05859897658228874","","","0.05847170203924179","0.05923027917742729"
"royal-sun-211","2024-06-04T00:21:55.000Z","mlp_norman_0.2","mlp, norman, replicate_1, split_0.2","0.06312922388315201","","","0.05803727358579635","0.05875164642930031"
"distinctive-frog-210","2024-06-04T00:16:01.000Z","mlp_norman_0.2","mlp, norman, replicate_0, split_0.2","0.059340473264455795","","","0.05825041979551315","0.058360204100608826"
"vital-tree-209","2024-06-04T00:03:11.000Z","mlp_norman_0.1","mlp, norman, replicate_2, split_0.1","0.06244327127933502","","","0.05638305842876434","0.05647565796971321"
"dashing-forest-208","2024-06-04T00:02:47.000Z","mlp_norman_0.1","mlp, norman, replicate_1, split_0.1","0.063751220703125","","","0.05586744099855423","0.05586846545338631"
"ruby-universe-207","2024-06-03T23:57:11.000Z","mlp_norman_0.1","mlp, norman, replicate_0, split_0.1","0.059312187135219574","","","0.05712485685944557","0.05753806233406067"
"bright-glade-206","2024-06-03T23:27:58.000Z","mlp_norman_0.0","mlp, norman, replicate_2, split_0.0","0.05805039033293724","","","0.056046925485134125","0.056060079485177994"
"brisk-terrain-205","2024-06-03T23:27:58.000Z","mlp_norman_0.0","mlp, norman, replicate_1, split_0.0","0.06136101111769676","","","0.055077288299798965","0.055309705436229706"
"youthful-morning-204","2024-06-03T23:27:47.000Z","mlp_norman_0.0","mlp, norman, replicate_0, split_0.0","0.05905518680810928","","","0.05655321106314659","0.05730893090367317"
