"Name","Tags","ID","State","Notes","User","Group","Job Type","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","epoch","test/mse","train/mse","val/mse","lr-Adam","trainer.max_epochs","callbacks.early_stopping._target_","callbacks.early_stopping.check_finite","callbacks.early_stopping.check_on_train_epoch_end","callbacks.early_stopping.min_delta","callbacks.early_stopping.mode","callbacks.early_stopping.monitor","callbacks.early_stopping.patience","callbacks.early_stopping.strict","callbacks.early_stopping.verbose","callbacks.learning_rate_monitor._target_","callbacks.learning_rate_monitor.logging_interval","callbacks.model_checkpoint._target_","callbacks.model_checkpoint.auto_insert_metric_name","callbacks.model_checkpoint.dirpath","callbacks.model_checkpoint.filename","callbacks.model_checkpoint.mode","callbacks.model_checkpoint.monitor","callbacks.model_checkpoint.save_last","callbacks.model_checkpoint.save_top_k","callbacks.model_checkpoint.save_weights_only","callbacks.model_checkpoint.verbose","callbacks.model_summary._target_","callbacks.model_summary.max_depth","data._target_","data.batch_size","data.data_dir","data.data_name","data.fm","data.num_workers","data.pin_memory","data.replicate","data.spectra_parameters.force_reconstruct","data.spectra_parameters.number_repeats","data.spectra_parameters.random_seed","data.spectra_parameters.sparsification_step","data.split","extras.distributed_storage","extras.enforce_tags","extras.ignore_warnings","extras.print_config","model._target_","model.criterion._target_","model.net._target_","model.net.hidden_dim","model.net.in_dim","model.net.num_layers","model.net.out_dim","model.optimizer._partial_","model.optimizer._target_","model.optimizer.lr","model.optimizer.weight_decay","model.scheduler._partial_","model.scheduler._target_","model.scheduler.factor","model.scheduler.min_lr","model.scheduler.mode","model.scheduler.patience","model/params/non_trainable","model/params/total","model/params/trainable","tags","task_name","trainer._target_","trainer.accelerator","trainer.check_val_every_n_epoch","trainer.default_root_dir","trainer.deterministic","trainer.devices","trainer.min_epochs","trainer.num_sanity_val_steps","trainer/global_step"
"vivid-dew-55","hpo, mlp, norman, replicate_2, split_0.7","qeg36yrh","finished","-","","mlp_norman_0.7","","2024-06-05T17:33:13.000Z","2024-06-05T17:34:33.000Z","2024-06-05T17:34:33.000Z","80","","sbg12","","","","1","NVIDIA A100-PCIE-40GB","100","0.08322716504335403","0.06132926046848297","0.06017843633890152","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","2","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","8900"
"amber-meadow-54","hpo, mlp, norman, replicate_0, split_0.7","74dyko6c","finished","-","","mlp_norman_0.7","","2024-06-05T17:32:30.000Z","2024-06-05T17:33:41.000Z","2024-06-05T17:33:41.000Z","71","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.09328273683786392","0.0551278255879879","0.05608610436320305","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","0","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","7000"
"electric-blaze-53","hpo, mlp, norman, replicate_2, split_0.6","fa3c2t43","finished","-","","mlp_norman_0.6","","2024-06-05T17:30:52.000Z","2024-06-05T17:32:28.000Z","2024-06-05T17:32:28.000Z","96","","sbg12","","","","1","NVIDIA A100-PCIE-40GB","100","0.08276399970054626","0.05754314735531807","0.057939209043979645","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","2","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","8300"
"light-aardvark-52","hpo, mlp, norman, replicate_0, split_0.6","joavu4at","finished","-","","mlp_norman_0.6","","2024-06-05T17:29:59.000Z","2024-06-05T17:31:51.000Z","2024-06-05T17:31:51.000Z","112","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.07793258130550385","0.06691446900367737","0.06712531298398972","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","0","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","11800"
"trim-voice-51","hpo, mlp, norman, replicate_1, split_0.7","842a4kp6","finished","-","","mlp_norman_0.7","","2024-06-05T17:26:27.000Z","2024-06-05T17:29:53.000Z","2024-06-05T17:29:53.000Z","206","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.07838084548711777","0.06174552813172341","0.06336580216884613","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","1","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","8700"
"fragrant-fire-50","hpo, mlp, norman, replicate_0, split_0.5","8rdslkpz","finished","-","","mlp_norman_0.5","","2024-06-05T17:22:56.000Z","2024-06-05T17:29:12.000Z","2024-06-05T17:29:12.000Z","376","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.0653541162610054","0.06458283215761185","0.06452107429504395","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","0","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","17600"
"dry-bush-49","hpo, mlp, norman, replicate_2, split_0.5","yj3j9mbk","finished","-","","mlp_norman_0.5","","2024-06-05T17:22:37.000Z","2024-06-05T17:30:10.000Z","2024-06-05T17:30:10.000Z","453","","sbg12","","","","1","NVIDIA A100-PCIE-40GB","100","0.08493625372648239","0.06228354573249817","0.060819387435913086","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","2","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","25000"
"eternal-forest-48","hpo, mlp, norman, replicate_1, split_0.6","fwgivnwi","finished","-","","mlp_norman_0.6","","2024-06-05T17:22:14.000Z","2024-06-05T17:25:46.000Z","2024-06-05T17:25:46.000Z","212","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.31672927737236023","0.0663200318813324","0.0679183080792427","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","1","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","12400"
"legendary-resonance-47","hpo, mlp, norman, replicate_0, split_0.4","8mo42mck","finished","-","","mlp_norman_0.4","","2024-06-05T17:13:22.000Z","2024-06-05T17:21:51.000Z","2024-06-05T17:21:51.000Z","509","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.14661027491092682","0.06451204419136047","0.06445806473493576","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","0","true","3","[42,44,46]","0.1","0.4","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","28500"
"major-grass-46","hpo, mlp, norman, replicate_1, split_0.5","po2e4ndv","finished","-","","mlp_norman_0.5","","2024-06-05T17:13:08.000Z","2024-06-05T17:21:23.000Z","2024-06-05T17:21:23.000Z","495","","sbg10","","","","1","NVIDIA A100-PCIE-40GB","100","0.06792651116847992","0.06345539540052414","0.06239420548081398","0.0001","100","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","32","${paths.data_dir}","norman","geneformer","0","false","1","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","256","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0001","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","661005","661005","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","1","0","24100"
