"Name","Created","End Time","Group","Tags","Runtime","train/mse","val/mse","test/mse","model.scheduler.patience"
"rare-voice-79","2024-06-05T22:39:59.000Z","2024-06-05T22:40:48.000Z","mlp_norman_0.7","hpo, mlp, norman, replicate_2, split_0.7","49","0.05889774486422539","0.060104768723249435","0.0985243245959282","10"
"misunderstood-water-78","2024-06-05T22:38:59.000Z","2024-06-05T22:39:45.000Z","mlp_norman_0.6","hpo, mlp, norman, replicate_2, split_0.6","46","0.05689486116170883","0.05823230370879173","0.08270227164030075","10"
"autumn-microwave-77","2024-06-05T22:37:22.000Z","2024-06-05T22:38:44.000Z","mlp_norman_0.5","hpo, mlp, norman, replicate_2, split_0.5","82","0.060678835958242416","0.061933279037475586","0.08306875079870224","10"
"glad-rain-76","2024-06-05T22:35:34.000Z","2024-06-05T22:37:06.000Z","mlp_norman_0.4","hpo, mlp, norman, replicate_2, split_0.4","92","0.06545211374759674","0.06561091542243958","0.148611381649971","10"
"northern-dragon-75","2024-06-05T22:28:46.000Z","2024-06-05T22:34:49.000Z","mlp_norman_0.7","hpo, mlp, norman, replicate_1, split_0.7","363","0.061007749289274216","0.06421869248151779","0.08436091989278793","10"
"charmed-serenity-74","2024-06-05T22:27:59.000Z","2024-06-05T22:35:17.000Z","mlp_norman_0.3","hpo, mlp, norman, replicate_2, split_0.3","438","0.06156889349222183","0.06201864033937454","0.06221472844481468","10"
"denim-snowball-73","2024-06-05T22:27:17.000Z","2024-06-05T22:28:30.000Z","mlp_norman_0.6","hpo, mlp, norman, replicate_1, split_0.6","73","0.06416880339384079","0.06426866352558136","0.2987024784088135","10"
"helpful-waterfall-72","2024-06-05T22:11:36.000Z","2024-06-05T22:26:59.000Z","mlp_norman_0.5","hpo, mlp, norman, replicate_1, split_0.5","923","0.06152389571070671","0.06107800081372261","0.15708757936954498","10"
"twilight-bush-71","2024-06-05T22:11:10.000Z","2024-06-05T22:27:39.000Z","mlp_norman_0.2","hpo, mlp, norman, replicate_2, split_0.2","989","0.06137731671333313","0.0615088976919651","0.08921831846237183","10"
"vocal-blaze-70","2024-06-05T21:59:28.000Z","2024-06-05T22:04:59.000Z","mlp_norman_0.7","hpo, mlp, norman, replicate_0, split_0.7","331","0.05495515465736389","0.054170750081539154","0.0984448492527008","10"
"vibrant-bee-69","2024-06-05T21:58:34.000Z","2024-06-05T22:11:19.000Z","mlp_norman_0.4","hpo, mlp, norman, replicate_1, split_0.4","765","0.06264287233352661","0.061284542083740234","0.06329260021448135","10"
"brisk-dragon-68","2024-06-05T21:53:55.000Z","2024-06-05T21:59:13.000Z","mlp_norman_0.6","hpo, mlp, norman, replicate_0, split_0.6","318","0.06422661244869232","0.06692669540643692","0.07913980633020401","10"
"fine-frog-67","2024-06-05T21:46:40.000Z","2024-06-05T21:53:39.000Z","mlp_norman_0.5","hpo, mlp, norman, replicate_0, split_0.5","419","0.06235099583864212","0.06182482838630676","0.06436590850353241","10"
"ruby-deluge-66","2024-06-05T21:42:56.000Z","2024-06-05T21:58:17.000Z","mlp_norman_0.3","hpo, mlp, norman, replicate_1, split_0.3","921","0.06093045324087143","0.060469284653663635","0.07137992978096008","10"
"apricot-bush-65","2024-06-05T21:37:54.000Z","2024-06-05T22:10:50.000Z","mlp_norman_0.1","hpo, mlp, norman, replicate_2, split_0.1","1976","0.058914657682180405","0.05910024791955948","0.07154351472854614","10"
"blooming-deluge-64","2024-06-05T21:37:51.000Z","2024-06-05T21:46:24.000Z","mlp_norman_0.4","hpo, mlp, norman, replicate_0, split_0.4","513","0.06325977295637131","0.062437668442726135","0.17543889582157135","10"
"young-bird-63","2024-06-05T21:29:59.000Z","2024-06-05T21:42:38.000Z","mlp_norman_0.2","hpo, mlp, norman, replicate_1, split_0.2","759","0.06064829230308533","0.06109383702278137","0.06526535004377365","10"
"upbeat-sunset-62","2024-06-05T21:21:34.000Z","2024-06-05T21:37:34.000Z","mlp_norman_0.3","hpo, mlp, norman, replicate_0, split_0.3","960","0.06080388277769089","0.0609850138425827","0.06837958842515945","10"
"twilight-paper-60","2024-06-05T20:59:36.000Z","2024-06-05T21:29:39.000Z","mlp_norman_0.1","hpo, mlp, norman, replicate_1, split_0.1","1803","0.05830863490700722","0.058599803596735","0.06566686928272247","10"
"glad-lake-59","2024-06-05T20:59:36.000Z","2024-06-05T21:37:30.000Z","mlp_norman_0.0","hpo, mlp, norman, replicate_2, split_0.0","2274","0.05861477926373482","0.058680493384599686","0.060013800859451294","10"
"rural-fog-60","2024-06-05T20:59:36.000Z","2024-06-05T21:21:14.000Z","mlp_norman_0.2","hpo, mlp, norman, replicate_0, split_0.2","1298","0.06142805516719818","0.06209839507937431","0.0649271160364151","10"
"neat-blaze-58","2024-06-05T19:12:49.000Z","2024-06-05T20:36:10.000Z","mlp_norman_0.1","hpo, mlp, norman, replicate_0, split_0.1","5001","0.05870194360613823","0.05824040621519089","0.06821960210800171","15"
"copper-smoke-57","2024-06-05T19:11:29.000Z","2024-06-05T20:43:55.000Z","mlp_norman_0.0","hpo, mlp, norman, replicate_2, split_0.0","5546","0.05772029608488083","0.05803084000945091","0.061429213732481","15"
"toasty-voice-55","2024-06-05T19:11:26.000Z","2024-06-05T20:43:32.000Z","mlp_norman_0.0","hpo, mlp, norman, replicate_1, split_0.0","5526","0.05686219781637192","0.05780743807554245","0.06948988884687424","15"
